image,lsb_depth,bpp,payload_bytes,embed_time_s,extract_time_s,mse,psnr,ssim,kl_divergence,distortion_per_bit,rs_estimated_rate,rs_detected,chi2_embedding_prob,chi2_detected,spa_estimated_rate,spa_detected,extraction_verified
synthetic_512x512.png,1,0.05,1349,0.0355,0.0572,0.006883,69.75,0.999997,0.000001,0.00000064,0.5000,True,0.5606,True,0.0104,False,True
synthetic_512x512.png,1,0.1,2659,0.0346,0.0506,0.013486,66.83,0.999995,0.000002,0.00000063,0.5000,True,0.6240,True,0.0104,False,True
synthetic_512x512.png,1,0.2,5281,0.0372,0.0731,0.026876,63.84,0.999990,0.000004,0.00000064,0.0893,True,0.7760,True,0.0116,False,True
synthetic_512x512.png,1,0.3,7902,0.0343,0.0591,0.040225,62.09,0.999985,0.000005,0.00000064,0.5000,True,0.6014,True,0.0109,False,True
synthetic_512x512.png,1,0.4,10524,0.0390,0.0368,0.053697,60.83,0.999980,0.000008,0.00000064,0.0182,False,0.5165,True,0.0124,False,True
synthetic_512x512.png,2,0.05,1349,0.0298,0.0277,0.017429,65.72,0.999994,0.000001,0.00000162,0.5000,True,0.5790,True,0.0106,False,True
synthetic_512x512.png,2,0.1,2659,0.0359,0.0533,0.034299,62.78,0.999987,0.000002,0.00000161,0.0340,False,0.6512,True,0.0110,False,True
synthetic_512x512.png,2,0.2,5281,0.0407,0.0532,0.067481,59.84,0.999975,0.000004,0.00000160,0.5000,True,0.3490,False,0.0108,False,True
synthetic_512x512.png,2,0.3,7902,0.0307,0.0636,0.100248,58.12,0.999963,0.000006,0.00000159,0.0644,True,0.4231,False,0.0113,False,True
synthetic_512x512.png,2,0.4,10524,0.0409,0.0556,0.135005,56.83,0.999951,0.000007,0.00000160,0.1314,True,0.5278,True,0.0104,False,True
